obsid, frequency, power, fap

/home/jchakrab/fits/pipeline_nostitch/jcf041046_corrected_cmap.fits, [1440.9391304347828 1439.0608695652174 720.9391304347826 719.0608695652174 1438.4347826086957 1441.5652173913043 0.3130434782608696 0.9391304347826087 721.5652173913044 718.4347826086956 1.565217391304348 1437.808695652174 1442.1913043478262 722.1913043478261 717.8086956521739 2.191304347826087 1442.817391304348 1437.182608695652 1449.704347826087 1430.2956521739131 722.8173913043478 717.1826086956522 2.8173913043478263 729.704347826087 710.295652173913 9.704347826086957 1450.3304347826088 1429.6695652173914 730.3304347826087 709.6695652173913 10.330434782608696 1443.4434782608696 1436.5565217391306 723.4434782608696 716.5565217391304 3.4434782608695658 1449.0782608695654 1430.9217391304348 729.0782608695652 710.9217391304348 9.078260869565216 1450.9565217391305 1429.0434782608695 730.9565217391304 709.0434782608695 10.956521739130434 1459.7217391304348 1420.2782608695652 739.7217391304347 700.2782608695652 ], [3.6937787500990433 3.430172440591277 0.557775991840962 0.5573984526975404 0.5557939476169426 0.5551930343841363 0.5281458398143706 0.5171213767810291 0.4982942481246585 0.4982560747100437 0.49353775715276677 0.47138862427171685 0.47115837884687867 0.45538137519088917 0.4553638103724474 0.45394398757005117 0.40153329029716517 0.40148438970056705 0.3951732682154115 0.3944905659317862 0.39310070530455504 0.3930805194202992 0.3923250207641613 0.3872704247750539 0.38718707495173527 0.3865351007587256 0.37175056547137697 0.3707911991598549 0.36408734213907124 0.3639929432227682 0.3633805132611649 0.3053791603890655 0.3052348309196772 0.29959588448499963 0.2995744478035345 0.29906444836202073 0.2754169032259 0.27529136744636845 0.2699290269237891 0.2698853634221597 0.26941022248433366 0.23081651427613145 0.22984765953072442 0.22569364425330013 0.22561754063044087 0.22522857680459948 0.18185683897457885 0.18119291780150423 0.1780992595213513 0.17802152845554883 ], [nan nan 2.8580431595956265e-37 3.1476481732914493e-37 4.739479213675181e-37 5.522459716073049e-37 4.375227249382902e-34 5.954538378831842e-33 4.489078574690125e-31 4.527838825393636e-31 1.3037592945864722e-30 1.6410822171058933e-28 1.7238113629307026e-28 4.76579119764592e-27 4.783176108145219e-27 6.417600039427125e-27 1.9877375437281953e-22 2.006134801635559e-22 6.545900754439933e-22 7.433645550125398e-22 9.626086896326604e-22 9.662246277559135e-22 1.1116855479131517e-21 2.8280167770242518e-21 2.8717066005705808e-21 3.2373433548084656e-21 4.737877966467174e-20 5.626487645167423e-20 1.8564406086117432e-19 1.88773708438465e-19 2.1038668638342989e-19 3.830665271944903e-15 3.9211421252340125e-15 9.723526648780651e-15 9.757013481197154e-15 1.0588274102814606e-14 4.3902761886058864e-13 4.4764338439728625e-13 1.0234087481928336e-12 1.0302958793104154e-12 1.1082745261497058e-12 3.536167828952732e-10 4.0706983308177763e-10 7.427915829513141e-10 7.509971585558244e-10 7.94358559133024e-10 3.4555005290733507e-07 3.781825897173504e-07 5.752434087354184e-07 5.813243215499632e-07 ]
/home/jchakrab/fits/pipeline_nostitch/jcf207212_corrected_cmap.fits, [1439.084745762712 1440.915254237288 1441.5254237288136 1438.4745762711864 719.0847457627119 720.9152542372881 0.3050847457627119 0.9152542372881356 721.5254237288136 718.4745762711865 1.5254237288135595 1442.1355932203392 1437.864406779661 722.1355932203389 717.8644067796611 2.135593220338983 1442.7457627118645 1437.2542372881358 722.7457627118645 717.2542372881356 2.745762711864407 1443.3559322033898 1436.6440677966102 723.3559322033898 716.6440677966102 3.3559322033898304 1449.457627118644 1430.542372881356 729.4576271186442 710.542372881356 9.457627118644067 1429.9322033898306 1450.0677966101696 730.0677966101695 709.9322033898305 10.067796610169493 1443.9661016949153 1436.0338983050847 723.9661016949153 716.0338983050848 3.9661016949152548 1448.8474576271187 1431.1525423728813 728.8474576271186 711.1525423728814 8.847457627118645 1429.322033898305 1450.6779661016951 730.677966101695 709.3220338983051 ], [9.192405793606605 8.336109653625932 0.7831023777679016 0.7809945987885412 0.777491245305309 0.7769600160499879 0.7298755536416539 0.7177995412403932 0.6980737040879579 0.6979103573487843 0.6909667498398695 0.6706518421208588 0.6679353781966131 0.6455715325911532 0.6454357936794143 0.6433270422915615 0.5799011249710405 0.5789096731931167 0.5665229062981142 0.5664587807036324 0.5652875267825413 0.4582354640647089 0.4580842138613076 0.4490067383810586 0.44897608252732873 0.44813489536473944 0.32180490536206524 0.3216734606708976 0.3153136820536904 0.31525974252335504 0.31468235768203756 0.3033676935230563 0.3032194177776896 0.297138950685727 0.2970941122109366 0.29654098966269954 0.2951735328112408 0.29508209908719946 0.28885316398957017 0.2888295034270795 0.28825625356637197 0.21028164976084082 0.20975882048196529 0.2057502688609689 0.20570117757980527 0.2053220478431568 0.171459197019064 0.17125017973022685 0.16767258453047054 0.16764857099870098 ], [nan nan 2.7524481820954e-74 8.480826025141475e-74 5.3754220291315333e-73 7.094375439291061e-73 3.3724824483840595e-63 5.458945968206288e-61 1.411059785460627e-57 1.5026576487502853e-57 2.1109190914355603e-56 3.461163256339432e-53 8.993724735105133e-53 1.7546664700061793e-49 1.834518922281648e-49 3.654545282295494e-49 6.626390237382278e-41 8.71308625462613e-41 2.5253130819339096e-39 2.5690633918698365e-39 3.5142233282616034e-39 4.3515074553705795e-28 4.494602923149422e-28 3.0820094511818216e-27 3.1019447595454895e-27 3.701743444205772e-27 8.429465858693124e-17 8.620184730942141e-17 2.531265419490167e-16 2.5543845899387694e-16 2.815355339353292e-16 1.8625040409234396e-15 1.9087936718582172e-15 5.1995668556066245e-15 5.2379577714360606e-15 5.735294013250354e-15 7.174791993025327e-15 7.282912985196196e-15 2.0081231248015824e-14 2.0158391885703094e-14 2.212031533275193e-14 3.436648596946114e-09 3.7074905771226937e-09 6.620504352471232e-09 6.667551746630314e-09 7.0422270487259606e-09 8.315464279708365e-07 8.558228480000215e-07 1.3987619111658614e-06 1.4033707339217245e-06 ]
/home/jchakrab/fits/pipeline_nostitch/jcf0038900398_corrected_cmap.fits, [1439.0442477876106 1440.9557522123896 1447.3274336283187 1432.6725663716813 727.3274336283185 712.6725663716815 7.327433628318585 1447.9646017699115 1432.0353982300885 727.9646017699115 712.0353982300885 7.964601769911504 1438.4070796460178 1441.5929203539824 719.0442477876106 720.9557522123894 0.3185840707964602 1433.3097345132744 0.9557522123893805 1446.6902654867258 718.4070796460178 721.5929203539823 726.6902654867257 713.3097345132743 1.592920353982301 6.690265486725664 1442.2300884955753 1437.769911504425 722.2300884955753 717.7699115044247 2.230088495575221 1442.8672566371683 1437.1327433628321 722.8672566371681 717.1327433628319 2.8672566371681416 1448.6017699115046 1431.3982300884957 728.6017699115044 711.3982300884956 8.601769911504425 1430.7610619469028 1449.2389380530974 729.2389380530973 710.7610619469027 9.238938053097346 1443.5044247787612 1436.495575221239 723.5044247787611 716.4955752212389 ], [1.384423960260764 1.022579998146142 0.3530562944780672 0.35281233445380905 0.34615149857657074 0.3461019705486801 0.34550208679149497 0.3156955248746981 0.3146746169276321 0.3090785449787451 0.3090017823500356 0.3084737760888072 0.30308727502297883 0.3017580074492028 0.299086045110066 0.29823343449931633 0.2839826922972895 0.2812189961799054 0.2812169569776418 0.28075195620687204 0.277423521611666 0.27741658175811784 0.2756494496333075 0.27563773831990135 0.27533322865573434 0.2751556802166217 0.27393592380727305 0.2726351899550399 0.2655645403865058 0.2655059783620216 0.26483214766025925 0.2492334526675048 0.2484627089909387 0.24398131905372042 0.2439435593309568 0.2435171824906627 0.24339642273652312 0.24298471912756942 0.23842093156966537 0.23837264452952006 0.23795385952970444 0.20009032304733881 0.20008320975398047 0.19619928369358164 0.19617061652884973 0.19582452013385804 0.19566665108538778 0.1953866621685588 0.1919541748949608 0.1919337178733345 ], [nan nan 2.996525768718926e-18 3.1241003171341015e-18 9.692081760018272e-18 9.773585135803616e-18 1.0816352225048015e-17 1.4826226918106089e-15 1.7479008625159856e-15 4.289673916590888e-15 4.342602108491386e-15 4.724614100717587e-15 1.1124191815559826e-14 1.3727402081449287e-14 2.0922208654408608e-14 2.3925228678226303e-14 2.1964287115883686e-13 3.358471298442958e-13 3.359521669678795e-13 3.6077365649360275e-13 6.000923299149126e-13 6.007277875768793e-13 7.86267165460278e-13 7.876691359814353e-13 8.250042296599013e-13 8.475764460024495e-13 1.0200767520866327e-12 1.2424322314252592e-12 3.60594848885486e-12 3.637748629424209e-12 4.024251696629546e-12 4.05704680975488e-11 4.541763905922629e-11 8.733047350461907e-11 8.781136130913905e-11 9.342687619519354e-11 9.50809675775986e-11 1.009412404969311e-10 1.954372185908132e-10 1.9680379416081517e-10 2.0905982192387549e-10 4.2737254354411816e-08 4.2778890214070604e-08 7.269815046312771e-08 7.298248160800962e-08 7.650330456866024e-08 7.81646465494134e-08 8.119942950777811e-08 1.293727990560811e-07 1.29731594224037e-07 ]
/home/jchakrab/fits/pipeline_nostitch/j0349_corrected_cmap.fits, [1440.9037656903765 1439.0962343096235 719.0962343096235 720.9037656903765 1441.5062761506276 1438.4937238493726 0.301255230125523 0.9037656903765691 721.5062761506276 718.4937238493724 1.506276150627615 1442.1087866108787 1437.8912133891215 722.1087866108786 717.8912133891214 2.1087866108786613 1446.326359832636 1433.673640167364 726.326359832636 713.673640167364 6.3263598326359824 1442.7112970711298 1437.2887029288704 722.7112970711297 717.2887029288702 2.711297071129707 1446.928870292887 1433.071129707113 726.928870292887 713.071129707113 6.928870292887028 1445.7238493723848 1434.2761506276152 725.723849372385 714.276150627615 5.7238493723849375 1436.6861924686193 1443.313807531381 723.3138075313807 716.6861924686192 3.3138075313807533 1449.9414225941423 1430.0585774058577 729.9414225941423 710.0585774058577 9.941422594142258 1447.5313807531381 1432.4686192468619 727.5313807531381 712.4686192468619 ], [12.738728719974933 12.27190997219708 0.5575000270321272 0.557364533305695 0.5548232626339361 0.5545313123734759 0.5233936225731456 0.5116745893611498 0.49242283797356273 0.49234684925587774 0.48715837887803576 0.4671936948806418 0.4656026909867955 0.449462118245019 0.4493780077672271 0.44785562915282856 0.43749700810518166 0.4371944794271894 0.4281297489463475 0.42807060436817196 0.42723202981693953 0.40048763360242706 0.39965255313182296 0.3909043223542669 0.390854387192324 0.39001793501318766 0.37266796581039846 0.37250090331908275 0.36455564536515767 0.36450345768703935 0.36377440359080543 0.3439647269587205 0.34378573805379026 0.3363070295538786 0.33626488477182176 0.33557346865721155 0.30771361606535913 0.3074185171249258 0.30098925888259126 0.30098181609690755 0.30036763882096573 0.22125624539687838 0.22093511745011976 0.21637541467520316 0.21632480459491282 0.21590428756393382 0.1895562825905588 0.1892598340858425 0.18513575198089618 0.18509842186247352 ], [nan nan 8.285298133903257e-39 8.589042556753156e-39 1.6839553140891332e-38 1.81891871725081e-38 5.125106510320959e-35 8.904818631273209e-34 8.372287529735671e-32 8.520834752994227e-32 2.8137880609651682e-31 2.496699354757003e-29 3.5434372975757e-29 1.1659323557853291e-27 1.1870295816315447e-27 1.6414140035634694e-27 1.4543078663334376e-26 1.5490327828907643e-26 1.0100265029282989e-25 1.0223570607748331e-25 1.214118077955096e-25 2.5640095233039866e-23 3.0185621522730044e-23 1.6457799844993465e-22 1.6616716344045576e-22 1.9516488113359537e-22 5.2216834446766875e-21 5.387145684856824e-21 2.352231509525855e-20 2.3749670988608474e-20 2.716317629606637e-20 9.842819014094577e-19 1.0162170353819707e-18 3.8278529904114405e-18 3.856400511001966e-18 4.356036651671118e-18 5.312002684361927e-16 5.583289647120542e-16 1.6437394689492178e-15 1.6457856353955087e-15 1.8236308713090806e-15 4.836084130401026e-10 5.073488275656336e-10 9.996362191528572e-10 1.0071655188880518e-09 1.0719385851449735e-09 4.962093719385226e-08 5.17686826481843e-08 9.317654449061976e-08 9.367214434790497e-08 ]
/home/jchakrab/fits/pipeline_nostitch/cal_jc01260131_corrected_cmap.fits, [1439.0808510638294 1440.91914893617 1438.4680851063827 1441.5319148936167 720.91914893617 719.0808510638296 0.3063829787234042 0.9191489361702125 721.5319148936169 718.4680851063828 1437.855319148936 1442.1446808510634 1.531914893617021 722.1446808510636 717.855319148936 2.1446808510638293 1437.242553191489 1442.7574468085104 722.7574468085105 717.2425531914892 2.757446808510638 1436.6297872340422 1443.3702127659571 723.3702127659573 716.6297872340424 3.3702127659574463 1436.0170212765954 1443.982978723404 723.9829787234041 716.0170212765955 3.982978723404255 1435.4042553191487 1444.5957446808507 724.5957446808509 715.4042553191488 4.595744680851063 1426.8255319148932 1453.1744680851061 733.1744680851061 706.8255319148934 13.174468085106382 1427.4382978723402 1452.5617021276594 732.5617021276594 707.4382978723403 12.561702127659574 1426.2127659574467 1453.7872340425529 733.787234042553 706.2127659574467 ], [9.184249974513534 7.808457769227422 0.9018415738510469 0.9000695506616833 0.8752737895826321 0.8742839716802442 0.8132547499069783 0.8082786923765 0.8042744612354836 0.804213464811501 0.8036157971426937 0.8024843609752758 0.7961713019610681 0.7746647669738911 0.7746537087937192 0.772069434538762 0.7460546758354412 0.7459961886918549 0.7295944264245002 0.7295587350536206 0.7280489883851476 0.6685386075651273 0.6683662950199163 0.6551956996783369 0.6551655574140154 0.6539451728101466 0.5342737844622037 0.5335540763874007 0.5226244603784064 0.5226144351560514 0.5215734477427887 0.29754102020574386 0.29739828784450245 0.29057580897483765 0.2905562323145585 0.2899331090776593 0.17236623147493746 0.1720242177936668 0.16859437828668836 0.16856838492523796 0.16824486976557668 0.16415867820918917 0.16370122376978444 0.16062585850677658 0.16060809219613006 0.16030951846995692 0.12430297133654111 0.12397608937121114 0.12132181785995005 0.12130316983257804 ], [nan nan 7.2043718546514e-114 5.734805496186488e-113 8.290914826607971e-102 2.0728894682986636e-101 1.7238664783863349e-81 3.630666107043772e-80 3.983397232945226e-79 4.1298539325144814e-79 5.879304161860008e-79 1.1440181284395024e-78 4.382523266395234e-77 4.888522883078164e-72 4.916395003558942e-72 1.8423459219595717e-71 5.043113026730325e-66 5.179443970287224e-66 7.2745198600652e-63 7.386569518322148e-63 1.4075007666564213e-62 1.2567279471297882e-52 1.3346517259942864e-52 1.2108012048000212e-50 1.2231131818532282e-50 1.840931987498121e-50 1.5258518309867715e-35 1.8239432843474334e-35 2.6506118881377447e-34 2.657051321598678e-34 3.4174500379045985e-34 5.7718723603801e-15 5.9081000313951935e-15 1.7915859382434527e-14 1.7972694536715406e-14 1.987816122592342e-14 8.016996314007526e-07 8.402231885526341e-07 1.343632507292571e-06 1.3484102633931808e-06 1.4093007984523447e-06 2.4578490267533928e-06 2.615253496524137e-06 3.96565946105345e-06 3.9751883071424935e-06 4.138759861590693e-06 0.0004750859528478385 0.0004954479036224443 0.0006960933247700895 0.000697754906740677 ]
/home/jchakrab/fits/pipeline_nostitch/jcf00430052_corrected_cmap.fits, [1438.9999999999998 1440.9999999999998 1438.3333333333333 1441.6666666666665 718.9999999999998 720.9999999999999 0.33333333333333326 0.9999999999999997 721.6666666666665 718.3333333333331 1.6666666666666665 1442.333333333333 1437.6666666666665 722.3333333333331 717.6666666666664 2.3333333333333326 1442.9999999999998 1436.9999999999998 722.9999999999998 716.9999999999999 2.9999999999999996 1436.333333333333 1443.6666666666665 723.6666666666665 716.3333333333331 3.666666666666666 1447.6666666666665 1432.3333333333333 727.6666666666664 712.3333333333331 7.666666666666666 1446.9999999999998 1432.9999999999998 726.9999999999999 712.9999999999998 6.999999999999999 1444.3333333333333 1435.6666666666665 724.3333333333331 715.6666666666665 4.333333333333332 1448.333333333333 1431.6666666666665 728.3333333333331 711.6666666666665 8.33333333333333 1433.6666666666665 1446.333333333333 726.3333333333331 713.6666666666665 ], [1.9682950349926758 1.9592167401355496 0.6712727778272599 0.6703977812779305 0.663754920468507 0.6634184525591797 0.6349650804947069 0.6285688113566915 0.6187176466093628 0.6186906368623778 0.6144782108090534 0.6066023958757902 0.6056824035163096 0.5905159627849165 0.5904582953755518 0.5891340179153367 0.5526093090032266 0.5520859603418883 0.5430450021964761 0.5430059377352302 0.5422115303314995 0.4511569132424687 0.4510713547236594 0.44391864368806677 0.44390106142791264 0.4432793151992127 0.3649995261215739 0.3644136222980304 0.3588684762718999 0.35881323549313016 0.35832709871606605 0.34693792157899656 0.3466578783587794 0.34136357532331807 0.3413246922319702 0.34086691471025554 0.26169304542166116 0.2615075234912487 0.25715094084922163 0.2571289527675213 0.2567485449843594 0.25549635200629545 0.2546813019413644 0.2508040528858297 0.25074752799717503 0.2503970486786998 0.20749899706396246 0.20740767280519778 0.20404579432651024 0.20403287501016512 ], [nan nan 1.6524017100335934e-48 2.1917052023801965e-48 1.8261204788481083e-47 2.0308564951961116e-47 1.1263189801495228e-43 7.1268083537222374e-43 1.1486668408302664e-41 1.1573400267294622e-41 3.716536329669736e-41 3.182031363202142e-40 4.077684588610912e-40 2.241460485212599e-38 2.2752185696391158e-38 3.205193185003326e-38 2.698055495901949e-34 3.054349064119142e-34 2.544614592396649e-33 2.5677945932893514e-33 3.087270161775439e-33 6.919815327483906e-25 7.034982155912644e-25 2.770659502167261e-24 2.779949776071381e-24 3.129076984173582e-24 3.4537924761855545e-18 3.807185912589792e-18 9.52910868955518e-18 9.616208259124308e-18 1.0417512360309e-17 6.675662101436317e-17 6.984712668493971e-17 1.6371916294640803e-16 1.6474234780528018e-16 1.7727521776743338e-16 2.7407738453878524e-11 2.8141037752184677e-11 5.2209318022480294e-11 5.237191971668205e-11 5.526572508624689e-11 6.595576398049108e-11 7.398890136206596e-11 1.2759217316911643e-10 1.286069971504983e-10 1.350801371359816e-10 4.610525837391596e-08 4.6664274348892535e-08 7.264532432230507e-08 7.27687056752705e-08 ]
/home/jchakrab/fits/pipeline_nostitch/jcfF139148_corrected_cmap.fits, [1438.5245901639346 1441.4754098360656 719.1147540983607 720.8852459016395 0.29508196721311475 0.8852459016393444 721.4754098360656 718.5245901639345 1.4754098360655739 1442.065573770492 1437.9344262295083 722.0655737704919 717.9344262295083 2.0655737704918034 1442.655737704918 1437.344262295082 722.6557377049181 717.344262295082 2.655737704918033 1436.7540983606557 1443.2459016393443 723.2459016393443 716.7540983606558 3.2459016393442623 1449.1475409836066 1430.8524590163936 729.1475409836066 710.8524590163935 9.147540983606557 1449.737704918033 1430.2622950819673 1431.4426229508197 1448.5573770491806 729.7377049180328 710.2622950819673 9.737704918032787 728.5573770491804 711.4426229508198 8.557377049180328 1443.8360655737706 1436.1639344262296 723.8360655737705 716.1639344262295 3.8360655737704925 1446.1967213114756 1433.8032786885249 726.1967213114755 713.8032786885246 6.196721311475409 1446.7868852459019 ], [0.5945964890046036 0.5941570548024373 0.5884628863567107 0.5881554712089558 0.5455869684240077 0.5370044520625492 0.5243182853594083 0.5242632301190331 0.5183573482685409 0.5079254437756511 0.5066879258721219 0.48771452692644157 0.48764003640035114 0.48584295780288844 0.44275259339183487 0.44216649337349534 0.4315665818494508 0.4315223515197487 0.43050736618509367 0.34230612063589766 0.34217673948145866 0.3344976509128642 0.3344809997025251 0.3337505407161778 0.30172984402992736 0.3013350772773219 0.29470537817142367 0.29463876065340916 0.29401751170161095 0.24417394653185617 0.24360196840717907 0.24153748870291802 0.24136601064656563 0.23832987467526942 0.238263281173968 0.2377632686051341 0.23581594633382782 0.23578209977860895 0.2352590507675504 0.18976757983994436 0.18960407401084953 0.18517968109140243 0.1851585246670568 0.18473861964553046 0.1522536558119596 0.15215878623420034 0.14870593035060173 0.14868424188137652 0.1483602238014813 0.133942437475744 ], [3.008442488838077e-44 3.4266986766352094e-44 1.8278127345712997e-43 1.999381390925837e-43 2.704221429707327e-38 2.557335512338871e-37 6.564847979835709e-36 6.656692130897325e-36 2.9272818138255306e-35 3.8319570543397e-34 5.180083812941542e-34 4.7982442714802486e-32 4.8826794751690755e-32 7.43171961283722e-32 1.155250008819889e-27 1.310393111800496e-27 1.2508990312997604e-26 1.2626177407664607e-26 1.5635584446619044e-26 4.785160372185772e-19 4.899008977713087e-19 1.9613054281079003e-18 1.9671786080209674e-18 2.2427284086523384e-18 6.101944628845897e-16 6.527725020774523e-16 2.0145557640344888e-15 2.0373843631105468e-15 2.2630100088835962e-15 7.665282736194569e-12 8.387010438670673e-12 1.159842743197535e-11 1.191448487178642e-11 1.9157979827758493e-11 1.9358171141170494e-11 2.0929009028558513e-11 2.834583552099856e-11 2.8495476017982442e-11 3.091001301021772e-11 2.9338214380557338e-08 3.0047355773917244e-08 5.722890446632727e-08 5.7404957794610634e-08 6.101233754116555e-08 6.1405715465474595e-06 6.221993890210243e-06 1.0037811168876832e-05 1.0067939932665306e-05 1.0528860691470492e-05 7.563464280983264e-05 ]
/home/jchakrab/fits/pipeline_nostitch/jc125_corrected_cmap.fits, [1441.3899613899612 1438.6100386100386 720.8339768339767 719.1660231660231 0.277992277992278 0.8339768339768339 721.3899613899614 718.6100386100387 1.3899613899613898 1438.054054054054 1441.9459459459458 721.9459459459459 718.0540540540541 1.9459459459459456 1437.4980694980693 1442.5019305019305 722.5019305019305 717.4980694980695 2.501930501930502 1443.057915057915 1436.942084942085 723.0579150579151 716.9420849420849 3.057915057915058 1445.837837837838 1434.162162162162 1451.9536679536677 1428.0463320463318 725.8378378378379 714.1621621621621 5.837837837837837 731.953667953668 708.0463320463319 11.953667953667953 1443.6138996138995 1436.3861003861005 723.6138996138995 716.3861003861003 3.6138996138996133 1449.1737451737451 1430.8262548262549 729.1737451737451 710.8262548262549 9.173745173745173 1448.6177606177605 1431.3822393822395 728.6177606177606 711.3822393822393 8.617760617760617 1452.5096525096524 ], [0.8183858758789754 0.8174252847141771 0.8083993052424078 0.8065917505974323 0.7290279420890872 0.7166846348034293 0.6996739320861507 0.6995239355135433 0.6893491602967445 0.6763907007032922 0.6753575143947232 0.6439331636885908 0.6439169387767378 0.64079792602066 0.5783770149320547 0.5782463377488252 0.5611533583301669 0.5611198287632991 0.5594179813780032 0.4411142157971442 0.4405633982536203 0.4290486099406339 0.4289958635073585 0.42783684883472056 0.25908189699489714 0.2586080958021315 0.25786326540515186 0.2569700789444401 0.2519139098333074 0.2518599975025872 0.2511875754095737 0.25045430898676935 0.2503464805858223 0.24969667286021427 0.24490254936596909 0.2445210096978864 0.23783817702898027 0.23780161124535593 0.23713051761310214 0.22861901517670105 0.22798072865756427 0.22212053947782995 0.22204592959448388 0.22145998033256528 0.21748204235646793 0.21696550635522546 0.2114133959578227 0.21134908789815546 0.2107933995287461 0.21039912065780209 ], [1.0167082948515723e-91 1.9961395379607436e-91 9.554455038198147e-89 3.1746295936654625e-88 1.6798988491638924e-69 4.9867247925824594e-67 8.588792548050341e-64 9.154669570406532e-64 6.451802304349591e-62 1.194990476794758e-59 1.7956880724636544e-59 2.3990383638726617e-54 2.4130411226657056e-54 7.350439071182707e-54 5.636389447960113e-45 5.863793316775397e-45 9.336112514478033e-43 9.42757961879714e-43 1.5448428280114356e-42 2.28681472109714e-29 2.5925069842480245e-29 3.471742191863609e-28 3.512821686082826e-28 4.5476755777879785e-28 8.259251694383165e-14 8.955305319660209e-14 1.0168894571168813e-13 1.184088996172534e-13 2.792967543976495e-13 2.8185481936265075e-13 3.157811788094547e-13 3.574049634633315e-13 3.639683041879012e-13 4.0612922428512204e-13 9.089095440484936e-13 9.688661164509558e-13 2.9500045562015245e-12 2.9679476708077634e-12 3.3171593930911388e-12 1.3477930623167808e-11 1.496220155161036e-11 3.887903067748934e-11 3.935266056764046e-11 4.327673507968467e-11 8.234387648353467e-11 8.949473348296114e-11 2.1824203385899842e-10 2.2049839422440028e-10 2.4098443026958386e-10 2.566537604698876e-10 ]
/home/jchakrab/fits/pipeline_nostitch/jcf589596_corrected_cmap.fits, [1440.964285714286 1439.0357142857144 1441.6071428571431 1438.3928571428573 720.9642857142858 719.0357142857143 0.32142857142857145 0.9642857142857143 721.6071428571429 718.3928571428572 1.6071428571428574 1437.7500000000002 1442.2500000000002 717.75 722.25 2.25 1437.1071428571431 1442.8928571428573 722.8928571428572 717.1071428571429 2.8928571428571432 1443.5357142857144 1436.464285714286 723.5357142857143 716.4642857142858 3.5357142857142865 1444.1785714285716 1435.8214285714287 724.1785714285714 715.8214285714286 4.178571428571429 1446.7500000000002 1433.2500000000002 726.75 713.25 6.75 1447.3928571428573 1432.6071428571431 727.3928571428572 712.6071428571429 7.392857142857143 1446.1071428571431 1433.8928571428573 726.1071428571429 713.8928571428572 6.107142857142858 1457.0357142857144 1422.964285714286 737.0357142857143 702.9642857142858 ], [3.384046107624679 3.238567132819812 0.7901005751751078 0.7899286268068969 0.7854658343958353 0.7843211713925895 0.745433937270705 0.7348151035450948 0.7173824366308759 0.717297113234584 0.7113831003957182 0.6930696762672502 0.6918509921928293 0.6715384029346185 0.6715316673203509 0.669685666322576 0.6110939837372809 0.6107568490463443 0.599271392894002 0.59925690105552 0.5982186632357477 0.4841930505512882 0.4835698865587821 0.4755137238244206 0.47546835296244677 0.47473782134622966 0.28533840156766044 0.28472797590328014 0.279878692914074 0.2798400513194234 0.2793961495851 0.2242915280243018 0.2240435746699534 0.2203175821506396 0.22028820021808646 0.21995489755006625 0.20044152932508413 0.20007063582939563 0.1967518729580636 0.19671814521175454 0.19641897829900698 0.1290958620777954 0.12905550976624278 0.12677201716517042 0.12675955336690642 0.1265574263993185 0.12015132779718118 0.11972573373469227 0.11787611316492727 0.11783299895765034 ], [nan nan 6.551465491587592e-72 7.171134505199119e-72 7.297563972555532e-71 1.312902417234262e-70 1.154568389265406e-62 1.0483111268473144e-60 1.1766396934948813e-57 1.2164765112131853e-57 1.1936277064300334e-56 1.0557256189396766e-53 1.6343192924108927e-53 1.863593366334016e-50 1.8678116007605476e-50 3.4648386579697247e-50 2.270719678644189e-42 2.498198050055561e-42 6.152490242146228e-41 6.177050234213228e-41 8.214371721431645e-41 7.205013006742477e-29 8.228070749371722e-29 4.513309883192299e-28 4.556439538279661e-28 5.309845230464168e-28 2.460989328382002e-13 2.701577664962737e-13 5.651220985900213e-13 5.684435731030497e-13 6.080146940147209e-13 1.872597914846486e-09 1.9388389334045185e-09 3.264273125661854e-09 3.277675592347054e-09 3.4335783212714105e-09 5.0269425322959056e-08 5.286372863477303e-08 8.28352378809095e-08 8.321333194939494e-08 8.664270786721846e-08 0.0005098848038708325 0.0005124212744966692 0.0006782246229885918 0.0006792614212665009 0.0006962955667679104 0.001520639494532744 0.0016012020837303824 0.0020031284325606052 0.0020135970861422 ]
