obsid, lonstart, lonend, freq, power, fap

/home/jchakrab/fits/pipeline_nostitch/jcf041046_corrected_cmap.fits, 212, 442, [0.3130434782608696 0.9391304347826087 1.565217391304348 2.191304347826087 2.8173913043478263 9.704347826086957 10.330434782608696 3.4434782608695658 9.078260869565216 10.956521739130434 19.721739130434784 4.069565217391304 20.347826086956523 19.095652173913045 6.573913043478261 ], [3.6937787500990433 3.430172440591277 0.557775991840962 0.5573984526975404 0.5557939476169426 0.5551930343841363 0.5281458398143706 0.5171213767810291 0.4982942481246585 0.4982560747100437 0.49353775715276677 0.47138862427171685 0.47115837884687867 0.45538137519088917 0.4553638103724474 ], [4.375227249382902e-34 5.954538378831842e-33 1.3037592945864722e-30 6.417600039427125e-27 1.1116855479131517e-21 3.2373433548084656e-21 2.1038668638342989e-19 1.0588274102814606e-14 1.1082745261497058e-12 7.94358559133024e-10 6.034469357536357e-07 2.6170447765747134e-06 0.00015812777407126817 0.00021872163658085013 0.014328598672901819 ]
/home/jchakrab/fits/pipeline_nostitch/jcf207212_corrected_cmap.fits, 359, 595, [0.3050847457627119 0.9152542372881356 1.5254237288135595 2.135593220338983 2.745762711864407 3.3559322033898304 9.457627118644067 10.067796610169493 3.9661016949152548 8.847457627118645 10.677966101694917 6.40677966101695 13.11864406779661 4.576271186440678 7.016949152542373 ], [9.192405793606605 8.336109653625932 0.7831023777679016 0.7809945987885412 0.777491245305309 0.7769600160499879 0.7298755536416539 0.7177995412403932 0.6980737040879579 0.6979103573487843 0.6909667498398695 0.6706518421208588 0.6679353781966131 0.6455715325911532 0.6454357936794143 ], [3.3724824483840595e-63 5.458945968206288e-61 2.1109190914355603e-56 3.654545282295494e-49 3.5142233282616034e-39 3.701743444205772e-27 2.815355339353292e-16 5.735294013250354e-15 2.212031533275193e-14 7.0422270487259606e-09 1.4680727649223133e-06 0.0002309944321511282 0.000523395751794088 0.00465630399525891 0.013039171548044605 ]
/home/jchakrab/fits/pipeline_nostitch/jcf0038900398_corrected_cmap.fits, 186, 412, [7.327433628318585 7.964601769911504 0.3185840707964602 0.9557522123893805 1.592920353982301 6.690265486725664 2.230088495575221 2.8672566371681416 8.601769911504425 9.238938053097346 3.504424778761062 18.79646017699115 19.43362831858407 18.15929203539823 9.876106194690266 ], [1.384423960260764 1.022579998146142 0.3530562944780672 0.35281233445380905 0.34615149857657074 0.3461019705486801 0.34550208679149497 0.3156955248746981 0.3146746169276321 0.3090785449787451 0.3090017823500356 0.3084737760888072 0.30308727502297883 0.3017580074492028 0.299086045110066 ], [1.0816352225048015e-17 4.724614100717587e-15 2.1964287115883686e-13 3.359521669678795e-13 8.250042296599013e-13 8.475764460024495e-13 4.024251696629546e-12 9.342687619519354e-11 2.0905982192387549e-10 7.650330456866024e-08 1.3538056803527657e-07 3.924297819164524e-07 3.969696625172136e-06 1.7046710080988443e-05 2.5412600048059777e-05 ]
/home/jchakrab/fits/pipeline_nostitch/j0349_corrected_cmap.fits, 39, 278, [0.301255230125523 0.9037656903765691 1.506276150627615 2.1087866108786613 6.3263598326359824 2.711297071129707 6.928870292887028 5.7238493723849375 3.3138075313807533 9.941422594142258 7.531380753138075 10.543933054393305 9.338912133891213 3.916317991631799 5.121338912133892 ], [12.738728719974933 12.27190997219708 0.5575000270321272 0.557364533305695 0.5548232626339361 0.5545313123734759 0.5233936225731456 0.5116745893611498 0.49242283797356273 0.49234684925587774 0.48715837887803576 0.4671936948806418 0.4656026909867955 0.449462118245019 0.4493780077672271 ], [5.125106510320959e-35 8.904818631273209e-34 2.8137880609651682e-31 1.6414140035634694e-27 1.214118077955096e-25 1.9516488113359537e-22 2.716317629606637e-20 4.356036651671118e-18 1.8236308713090806e-15 1.0719385851449735e-09 9.890295158573679e-08 7.214052493053059e-07 1.4545712720425011e-06 3.4966144776489433e-06 7.092310355990407e-05 ]
/home/jchakrab/fits/pipeline_nostitch/cal_jc01260131_corrected_cmap.fits, 58, 293, [0.3063829787234042 0.9191489361702125 1.531914893617021 2.1446808510638293 2.757446808510638 3.3702127659574463 3.982978723404255 4.595744680851063 13.174468085106382 12.561702127659574 13.787234042553191 7.0468085106382965 11.948936170212763 6.434042553191488 7.659574468085104 ], [9.184249974513534 7.808457769227422 0.9018415738510469 0.9000695506616833 0.8752737895826321 0.8742839716802442 0.8132547499069783 0.8082786923765 0.8042744612354836 0.804213464811501 0.8036157971426937 0.8024843609752758 0.7961713019610681 0.7746647669738911 0.7746537087937192 ], [1.7238664783863349e-81 3.630666107043772e-80 4.382523266395234e-77 1.8423459219595717e-71 1.4075007666564213e-62 1.840931987498121e-50 3.4174500379045985e-34 1.987816122592342e-14 1.4093007984523447e-06 4.138759861590693e-06 0.0007206465113204666 0.0010808419794176767 0.003689577547813668 0.03612772479277299 0.03990246977867287 ]
/home/jchakrab/fits/pipeline_nostitch/jcf00430052_corrected_cmap.fits, 323, 539, [0.33333333333333326 0.9999999999999997 1.6666666666666665 2.3333333333333326 2.9999999999999996 3.666666666666666 7.666666666666666 6.999999999999999 4.333333333333332 8.33333333333333 6.333333333333332 10.999999999999998 10.33333333333333 11.666666666666664 8.999999999999998 ], [1.9682950349926758 1.9592167401355496 0.6712727778272599 0.6703977812779305 0.663754920468507 0.6634184525591797 0.6349650804947069 0.6285688113566915 0.6187176466093628 0.6186906368623778 0.6144782108090534 0.6066023958757902 0.6056824035163096 0.5905159627849165 0.5904582953755518 ], [1.1263189801495228e-43 7.1268083537222374e-43 3.716536329669736e-41 3.205193185003326e-38 3.087270161775439e-33 3.129076984173582e-24 1.0417512360309e-17 1.7727521776743338e-16 5.526572508624689e-11 1.350801371359816e-10 7.561415432545058e-08 1.1895620625059456e-05 0.0001886205849461892 0.0029547376945454474 0.004037540962341706 ]
/home/jchakrab/fits/pipeline_nostitch/jcfF139148_corrected_cmap.fits, 10, 254, [0.29508196721311475 0.8852459016393444 1.4754098360655739 2.0655737704918034 2.655737704918033 3.2459016393442623 9.147540983606557 9.737704918032787 8.557377049180328 3.8360655737704925 6.196721311475409 6.786885245901639 12.688524590163937 15.639344262295083 7.967213114754098 ], [0.5945964890046036 0.5941570548024373 0.5884628863567107 0.5881554712089558 0.5455869684240077 0.5370044520625492 0.5243182853594083 0.5242632301190331 0.5183573482685409 0.5079254437756511 0.5066879258721219 0.48771452692644157 0.48764003640035114 0.48584295780288844 0.44275259339183487 ], [2.704221429707327e-38 2.557335512338871e-37 2.9272818138255306e-35 7.43171961283722e-32 1.5635584446619044e-26 2.2427284086523384e-18 2.2630100088835962e-15 2.0929009028558513e-11 3.091001301021772e-11 6.101233754116555e-08 1.0528860691470492e-05 0.00012339049722388855 0.0001316413371109699 0.00023188963287875154 0.0005250981208059931 ]
/home/jchakrab/fits/pipeline_nostitch/jc125_corrected_cmap.fits, 319, 578, [0.277992277992278 0.8339768339768339 1.3899613899613898 1.9459459459459456 2.501930501930502 3.057915057915058 5.837837837837837 11.953667953667953 3.6138996138996133 9.173745173745173 8.617760617760617 12.50965250965251 6.3938223938223935 11.397683397683398 5.281853281853282 ], [0.8183858758789754 0.8174252847141771 0.8083993052424078 0.8065917505974323 0.7290279420890872 0.7166846348034293 0.6996739320861507 0.6995239355135433 0.6893491602967445 0.6763907007032922 0.6753575143947232 0.6439331636885908 0.6439169387767378 0.64079792602066 0.5783770149320547 ], [1.6798988491638924e-69 4.9867247925824594e-67 6.451802304349591e-62 7.350439071182707e-54 1.5448428280114356e-42 4.5476755777879785e-28 3.157811788094547e-13 4.0612922428512204e-13 3.3171593930911388e-12 4.327673507968467e-11 2.4098443026958386e-10 7.5826095739222e-10 9.068403313868968e-10 1.6403651876341767e-07 5.111268018786412e-07 ]
/home/jchakrab/fits/pipeline_nostitch/jcf589596_corrected_cmap.fits, 198, 422, [0.32142857142857145 0.9642857142857143 1.6071428571428574 2.25 2.8928571428571432 3.5357142857142865 4.178571428571429 6.75 7.392857142857143 6.107142857142858 17.03571428571429 13.821428571428573 13.17857142857143 10.607142857142858 9.964285714285715 ], [3.384046107624679 3.238567132819812 0.7901005751751078 0.7899286268068969 0.7854658343958353 0.7843211713925895 0.745433937270705 0.7348151035450948 0.7173824366308759 0.717297113234584 0.7113831003957182 0.6930696762672502 0.6918509921928293 0.6715384029346185 0.6715316673203509 ], [1.154568389265406e-62 1.0483111268473144e-60 1.1936277064300334e-56 3.4648386579697247e-50 8.214371721431645e-41 5.309845230464168e-28 6.080146940147209e-13 3.4335783212714105e-09 8.664270786721846e-08 0.0006962955667679104 0.0020543832327958467 0.003239596948376866 0.00855781820115638 0.022833820810519777 0.028265954829033112 ]
