id, fft, fftpower, ls, lspower

/home/jchakrab/fits/pipeline_nostitch/jcf041046_corrected_cmap.fits [0.0 46.753246753246756 52.98701298701299 59.22077922077922 40.519480519480524 43.63636363636364 49.87012987012987 56.103896103896105 62.33766233766234 65.45454545454545 ], [1.5443472 0.12731138 0.12427741 0.067102745 0.05922278 0.055864062 0.0452885 0.021807171 0.014030765 0.011128922 ], [0.3130434782608696 0.9391304347826087 1.565217391304348 2.191304347826087 2.8173913043478263 9.704347826086957 10.330434782608696 3.4434782608695658 9.078260869565216 10.956521739130434 ], [3.6937787500990433 3.430172440591277 0.557775991840962 0.5573984526975404 0.5557939476169426 0.5551930343841363 0.5281458398143706 0.5171213767810291 0.4982942481246585 0.4982560747100437 ]
/home/jchakrab/fits/pipeline_nostitch/jcf207212_corrected_cmap.fits [0.0 33.41772151898734 85.0632911392405 36.45569620253165 82.02531645569621 88.10126582278481 112.40506329113924 75.9493670886076 121.51898734177216 72.9113924050633 ], [1.5998595 0.170149 0.12222929 0.08044937 0.046856828 0.032742664 0.027740918 0.021998687 0.021338569 0.015433972 ], [0.3050847457627119 0.9152542372881356 1.5254237288135595 2.135593220338983 2.745762711864407 3.3559322033898304 9.457627118644067 10.067796610169493 3.9661016949152548 8.847457627118645 ], [9.192405793606605 8.336109653625932 0.7831023777679016 0.7809945987885412 0.777491245305309 0.7769600160499879 0.7298755536416539 0.7177995412403932 0.6980737040879579 0.6979103573487843 ]
/home/jchakrab/fits/pipeline_nostitch/jcf0038900398_corrected_cmap.fits [0.0 15.859030837004404 41.23348017621145 114.18502202643171 111.01321585903082 206.16740088105726 107.84140969162995 199.82378854625549 202.99559471365637 212.511013215859 ], [1.3729061 0.09792222 0.09361501 0.08849557 0.08751143 0.05155709 0.050481748 0.035525307 0.031940416 0.02625607 ], [7.327433628318585 7.964601769911504 0.3185840707964602 0.9557522123893805 1.592920353982301 6.690265486725664 2.230088495575221 2.8672566371681416 8.601769911504425 9.238938053097346 ], [1.384423960260764 1.022579998146142 0.3530562944780672 0.35281233445380905 0.34615149857657074 0.3461019705486801 0.34550208679149497 0.3156955248746981 0.3146746169276321 0.3090785449787451 ]
/home/jchakrab/fits/pipeline_nostitch/j0349_corrected_cmap.fits [0.0 27.0 30.0 147.0 102.0 66.0 108.0 189.0 180.0 177.0 ], [1.5811771 0.14029607 0.1322389 0.07337282 0.052590154 0.03751511 0.03002773 0.028548429 0.013329243 0.012721106 ], [0.301255230125523 0.9037656903765691 1.506276150627615 2.1087866108786613 6.3263598326359824 2.711297071129707 6.928870292887028 5.7238493723849375 3.3138075313807533 9.941422594142258 ], [12.738728719974933 12.27190997219708 0.5575000270321272 0.557364533305695 0.5548232626339361 0.5545313123734759 0.5233936225731456 0.5116745893611498 0.49242283797356273 0.49234684925587774 ]
/home/jchakrab/fits/pipeline_nostitch/cal_jc01260131_corrected_cmap.fits [0.0 24.406779661016948 27.457627118644066 15.254237288135592 82.3728813559322 100.6779661016949 30.508474576271183 152.54237288135593 94.57627118644068 164.7457627118644 ], [1.4762927 0.19085151 0.08308331 0.055817526 0.044627964 0.03209333 0.02688821 0.022560447 0.01873756 0.016769458 ], [0.3063829787234042 0.9191489361702125 1.531914893617021 2.1446808510638293 2.757446808510638 3.3702127659574463 3.982978723404255 4.595744680851063 13.174468085106382 12.561702127659574 ], [9.184249974513534 7.808457769227422 0.9018415738510469 0.9000695506616833 0.8752737895826321 0.8742839716802442 0.8132547499069783 0.8082786923765 0.8042744612354836 0.804213464811501 ]
/home/jchakrab/fits/pipeline_nostitch/jcf00430052_corrected_cmap.fits [0.0 165.89861751152074 175.85253456221199 149.30875576036865 136.036866359447 159.2626728110599 155.9447004608295 189.12442396313364 215.66820276497694 205.7142857142857 ], [1.5689399 0.13897917 0.1031314 0.06473872 0.034063272 0.030314771 0.020793814 0.018705307 0.014251809 0.013608025 ], [0.33333333333333326 0.9999999999999997 1.6666666666666665 2.3333333333333326 2.9999999999999996 3.666666666666666 7.666666666666666 6.999999999999999 4.333333333333332 8.33333333333333 ], [1.9682950349926758 1.9592167401355496 0.6712727778272599 0.6703977812779305 0.663754920468507 0.6634184525591797 0.6349650804947069 0.6285688113566915 0.6187176466093628 0.6186906368623778 ]
/home/jchakrab/fits/pipeline_nostitch/jcfF139148_corrected_cmap.fits [0.0 73.46938775510205 70.53061224489797 76.40816326530613 67.59183673469389 79.34693877551021 64.6530612244898 276.2448979591837 82.28571428571429 85.22448979591837 ], [1.5867032 0.1439539 0.120627165 0.081433244 0.06212834 0.058711633 0.039579086 0.029169008 0.014909007 0.013801768 ], [0.29508196721311475 0.8852459016393444 1.4754098360655739 2.0655737704918034 2.655737704918033 3.2459016393442623 9.147540983606557 9.737704918032787 8.557377049180328 3.8360655737704925 ], [0.5945964890046036 0.5941570548024373 0.5884628863567107 0.5881554712089558 0.5455869684240077 0.5370044520625492 0.5243182853594083 0.5242632301190331 0.5183573482685409 0.5079254437756511 ]
/home/jchakrab/fits/pipeline_nostitch/jc125_corrected_cmap.fits [0.0 22.153846153846153 24.923076923076923 19.384615384615383 27.692307692307693 30.46153846153846 72.0 80.3076923076923 69.23076923076923 110.76923076923077 ], [1.6669128 0.20326151 0.13393492 0.111629054 0.08675013 0.021510145 0.02089651 0.019437324 0.016053135 0.01351501 ], [0.277992277992278 0.8339768339768339 1.3899613899613898 1.9459459459459456 2.501930501930502 3.057915057915058 5.837837837837837 11.953667953667953 3.6138996138996133 9.173745173745173 ], [0.8183858758789754 0.8174252847141771 0.8083993052424078 0.8065917505974323 0.7290279420890872 0.7166846348034293 0.6996739320861507 0.6995239355135433 0.6893491602967445 0.6763907007032922 ]
/home/jchakrab/fits/pipeline_nostitch/jcf589596_corrected_cmap.fits [0.0 70.4 96.0 73.60000000000001 83.2 92.80000000000001 124.80000000000001 80.0 134.4 89.60000000000001 ], [1.6709334 0.15084378 0.08683153 0.0542695 0.051547844 0.043015614 0.032988064 0.026598604 0.023679193 0.018809814 ], [0.32142857142857145 0.9642857142857143 1.6071428571428574 2.25 2.8928571428571432 3.5357142857142865 4.178571428571429 6.75 7.392857142857143 6.107142857142858 ], [3.384046107624679 3.238567132819812 0.7901005751751078 0.7899286268068969 0.7854658343958353 0.7843211713925895 0.745433937270705 0.7348151035450948 0.7173824366308759 0.717297113234584 ]
/home/jchakrab/fits/pipeline_nostitch/jc013024_corrected_cmap.fits [0.0 11.764705882352942 14.117647058823529 9.411764705882353 25.88235294117647 70.58823529411765 68.23529411764706 87.05882352941177 28.235294117647058 54.11764705882353 ], [1.3510808 0.200771 0.18151736 0.06890307 0.055108294 0.052816186 0.047957752 0.041390795 0.040209707 0.037635665 ], [0.23606557377049178 0.7081967213114753 1.180327868852459 1.6524590163934425 2.124590163934426 5.429508196721311 4.9573770491803275 2.5967213114754095 8.262295081967212 5.901639344262294 ], [0.7471360601436979 0.7456879779615564 0.602042721736913 0.6020374636020428 0.6012136451395286 0.5933209298577392 0.5910958100220118 0.5910286147804131 0.5763559292211092 0.5763473898659277 ]
