/home/jchakrab/fits/midir/2017/jcf_109505109511_corrected_cmap.fits, 222, 584, [0.19889502762430938 0.5966850828729282 0.994475138121547 1.392265193370166 1.7900552486187846 2.187845303867403 2.585635359116022 4.176795580110498 4.574585635359116 6.165745856353592 6.5635359116022105 8.552486187845304 8.154696132596685 10.541436464088397 2.9834254143646404 ], [1.2613974557435421 1.260596779070855 0.7996457812246905 0.7995939071280342 0.7899841779367696 0.7899321969864179 0.7884679308316118 0.7766413730504124 0.7533599369471875 0.7533382914949736 0.7505258881375386 0.7162904432421271 0.7162621380874663 0.7053366719336964 0.705325394662057 ], [8.921466812081693e-118 1.5421063932360276e-113 6.320808788290352e-105 9.933230439737102e-92 6.8936009346606544e-74 6.97909575576814e-52 3.238999282756904e-27 1.0008109430855923e-11 9.644729160282735e-10 3.3776087282402475e-09 7.3544473737785305e-09 1.6142733446767484e-07 2.7071977321499608e-06 3.046673137907625e-06 1.1312488704649288e-05 ]
/home/jchakrab/fits/midir/2017/cal_jcfF619621_corrected_cmap.fits, 265, 604, [0.21238938053097345 0.6371681415929205 1.0619469026548671 1.4867256637168142 1.911504424778761 2.336283185840708 2.761061946902655 4.460176991150442 6.584070796460177 7.008849557522123 4.884955752212389 11.256637168141593 13.380530973451329 10.831858407079647 3.1858407079646023 ], [1.1312905948284229 1.1281533392188559 0.8123280689883955 0.8121344205512833 0.8054563860319145 0.8025274857796638 0.8015109629868062 0.794770983798375 0.7729590460559221 0.7729451708815144 0.770742086740183 0.7367909152147851 0.7359593198795635 0.7274310136219756 0.7274116289775355 ], [3.6498597050431945e-116 2.888261423318329e-112 3.4068069322279055e-104 2.1618237347808606e-91 3.360427419828329e-73 7.248892720990758e-50 1.0626102016525351e-24 2.4876047996703416e-10 1.1532541651031076e-08 1.173371305709191e-08 2.796327435468742e-08 5.537193912466143e-06 3.4295085580857616e-05 0.00019697069265685977 0.00021997579334760793 ]
/home/jchakrab/fits/midir/2017/cal_jc_505511_corrected_cmap.fits, 222, 585, [0.19834710743801653 0.5950413223140496 0.9917355371900826 1.3884297520661157 1.7851239669421488 2.181818181818182 2.578512396694215 4.1652892561983474 4.56198347107438 2.9752066115702482 8.52892561983471 6.545454545454546 6.148760330578512 8.132231404958677 12.49586776859504 ], [1.3006303235360863 1.2998112092802456 0.8194261668127487 0.8193547499131671 0.8133690103579422 0.81309198448512 0.8060729163500542 0.7955648552897386 0.7751478902289851 0.7751330812283818 0.7722015407796362 0.7431302443568961 0.7429982603375673 0.7315747476895047 0.7315684633684332 ], [6.7137318233458e-125 8.895936491127427e-121 2.5226722652039375e-112 3.0630592321389488e-99 2.444396287500181e-81 7.875494779881282e-59 1.316130961365084e-32 4.2764951277912115e-10 1.3898892231122715e-09 2.0367233509762385e-08 3.6340580447225605e-06 6.125294710348629e-06 6.655122796182939e-06 2.1237419678720006e-05 0.00015521381993251698 ]
/home/jchakrab/fits/midir/2017/cal_jcfF335337_corrected_cmap.fits, 197, 537, [0.21176470588235294 0.6352941176470588 1.0588235294117647 1.4823529411764707 1.9058823529411766 2.3294117647058825 2.7529411764705882 6.988235294117646 4.447058823529411 3.176470588235294 6.56470588235294 4.870588235294117 11.223529411764707 9.105882352941178 10.8 ], [1.1506937093278395 1.1497244112485099 0.813344079661472 0.8132428815446888 0.8055542057944443 0.8055457526297892 0.8046026708668885 0.7948752373984284 0.7754760799963215 0.7754560340239394 0.773179688597661 0.7439757284411957 0.7439471137210518 0.7348299639187882 0.7348219297743127 ], [3.3794373123067426e-116 1.2063244745759457e-112 2.7090376178811144e-105 1.1241495913326524e-93 2.946813774221965e-77 8.191087806612708e-56 1.4645089049708199e-30 1.1610503485832323e-07 1.3165204504079525e-07 1.4212081144186467e-07 2.60974053571575e-07 1.0085520083675523e-06 7.145528888315645e-05 0.002003229623311847 0.002381154591702965 ]
/home/jchakrab/fits/midir/2017/jcfF641643_corrected_cmap.fits, 76, 427, [0.20512820512820515 0.6153846153846154 1.0256410256410258 1.4358974358974361 1.8461538461538465 2.2564102564102564 2.666666666666667 6.3589743589743595 6.769230769230769 4.3076923076923075 8.820512820512821 4.717948717948718 8.41025641025641 12.923076923076923 3.0769230769230766 ], [1.2027227945107082 1.2009566588826452 0.8064889907409489 0.8063840714016194 0.7975043830856307 0.7973178650964391 0.7966341461864035 0.7857470855960079 0.7641572664500728 0.7641420697262442 0.7616035490551559 0.7292924155875536 0.7292127103630827 0.7192588826166757 0.719252224636325 ], [4.6560191886139526e-117 4.035541018643952e-113 4.6562520202704975e-105 1.673668316554357e-92 4.948389872886986e-75 1.3203432915320115e-52 4.354270685223411e-27 3.755132542431365e-11 1.491056106185699e-10 8.158059325805268e-10 3.806404443477083e-09 1.055928082808115e-07 7.510751694451519e-07 5.577124445468295e-06 3.211771247231158e-05 ]
/home/jchakrab/fits/midir/2017/cal_jcfF133139_corrected_cmap.fits, 218, 558, [0.21176470588235294 0.6352941176470588 1.0588235294117647 1.4823529411764707 1.9058823529411766 2.3294117647058825 2.7529411764705882 4.447058823529411 4.870588235294117 4.023529411764706 6.988235294117646 5.294117647058823 11.223529411764707 6.56470588235294 10.8 ], [1.1614656813121451 1.1571448847561414 0.8199226699548086 0.8197412186981563 0.8130138514436698 0.8075760179184461 0.8075747051510389 0.801273789422638 0.7774408002226141 0.7774204579384562 0.775139554557093 0.7381237165611214 0.7379926971440671 0.7289863494449818 0.7289817773488597 ], [2.0474068790813592e-119 5.809641327712061e-115 6.285055207032642e-106 4.347462912174433e-92 2.794845017580459e-73 7.172300883727039e-50 3.6270752185753975e-24 4.435274503533901e-18 8.352643316745213e-17 1.0427708246125173e-07 2.874666110809342e-07 4.703275172639922e-06 6.714623340281955e-06 2.701504661354984e-05 0.0008832037843460029 ]
/home/jchakrab/fits/midir/2017/cal_jcf967973_corrected_cmap.fits, 213, 568, [0.2028169014084507 0.6084507042253521 1.0140845070422535 1.4197183098591548 1.8253521126760563 2.2309859154929574 2.6366197183098588 10.749295774647887 10.343661971830985 11.154929577464788 4.259154929577465 4.664788732394366 8.315492957746478 3.04225352112676 6.287323943661972 ], [1.1450562438615635 1.1419209934667083 0.7511798854114752 0.751035419707209 0.7435745432253424 0.7434220293620944 0.741047489426674 0.7309264816850433 0.7110622217920852 0.7110459693913423 0.708563764977914 0.6793714691252652 0.6792463841323458 0.6695689781308651 0.6695638532293942 ], [5.572361590091896e-100 4.716284872347764e-97 5.878002665403178e-91 3.4230981675024864e-81 4.276613303239571e-67 3.182537463736948e-48 1.0462364948356196e-25 3.562340019623079e-15 1.3616128523622957e-12 1.5783366000409793e-08 5.4807823405378755e-08 1.5478968741175202e-06 1.811583035814987e-05 2.1499524867090242e-05 3.5009871896328136e-05 ]
/home/jchakrab/fits/midir/2017/cal_jcfF891897_corrected_cmap.fits, 291, 623, [0.21686746987951808 0.6506024096385542 1.0843373493975905 1.5180722891566265 1.9518072289156627 2.3855421686746987 2.819277108433735 4.55421686746988 6.72289156626506 7.156626506024097 4.9879518072289155 3.2530120481927716 9.325301204819278 11.493975903614457 8.891566265060241 ], [1.1342876589660629 1.1269663814071684 0.8309121993640669 0.8306538441007607 0.82433560414342 0.8203970428576358 0.8203345727175789 0.8139340299214305 0.7925955696129301 0.7925743685144039 0.7904839587205992 0.7569671014575361 0.7567491562308655 0.7483500090328488 0.7483487302335985 ], [5.614618993081843e-121 7.182915539639668e-117 2.1378789803632385e-108 3.9463712809402353e-95 9.656083196089792e-77 8.115143224074799e-54 8.736186620270547e-29 5.540693009344294e-09 4.292879302794939e-08 7.657548671917811e-08 3.352825687198289e-07 4.0754418487789633e-07 1.0011227064640581e-05 1.589187237096155e-05 0.00014790018440041363 ]
/home/jchakrab/fits/midir/2017/jcf_116263116271_corrected_cmap.fits, 312, 674, [0.19889502762430938 0.5966850828729282 0.994475138121547 1.392265193370166 1.7900552486187846 2.187845303867403 2.585635359116022 2.9834254143646404 4.574585635359116 6.5635359116022105 4.176795580110498 6.165745856353592 8.552486187845304 6.961325966850828 8.154696132596685 ], [1.3704525446622897 1.3699497619195393 0.8684271168452383 0.8683631273318202 0.8670450309593951 0.8669614699677443 0.8521418382309995 0.8434050254559565 0.8267732394062131 0.8267504549887728 0.8236587064995052 0.8009162021914851 0.8008814349772788 0.7886749253208084 0.7886646259139235 ], [1.1207207699832752e-145 3.3315554148723845e-141 5.962547924292816e-132 1.7173574178814318e-117 1.3950131622171103e-97 2.5787734468689913e-72 4.872367668292151e-42 6.277039926514951e-13 1.914820342644633e-09 6.071951007875087e-09 8.673549980448442e-09 1.3474747205088233e-06 3.1987031255719304e-06 9.865233960248157e-05 0.0006429687106458458 ]
/home/jchakrab/fits/midir/2017/Cal_jcfF455457_corrected_cmap.fits, 290, 638, [0.2068965517241379 0.6206896551724138 1.0344827586206895 1.4482758620689655 1.862068965517241 2.275862068965517 2.689655172413793 4.344827586206896 6.827586206896551 4.758620689655172 6.413793103448275 8.896551724137932 3.103448275862069 7.241379310344827 13.03448275862069 ], [1.2651926053298703 1.2600729223721312 0.8605667917804359 0.8603605412045774 0.8538140133027098 0.853711860273347 0.8491490634709828 0.8391327040566771 0.8192010019376927 0.8191747099318385 0.8165457554360618 0.7867017324374469 0.7865432854121761 0.7761309662784784 0.7761261356176602 ], [2.1647131026366653e-138 1.4092282687716928e-133 9.680729539422464e-124 1.46955963801187e-108 9.520052436354809e-88 1.6142889009589674e-61 4.07895185006906e-32 4.976429709588974e-12 2.6805180949374352e-11 6.206115919264052e-11 9.650002165529163e-10 2.304684651896505e-07 5.468531142200315e-07 9.597386233550236e-05 0.00015650443510441874 ]
