,date,fft_power
925,2009-12-04,0.0066671
926,2009-12-04,0.00537955
927,2009-12-04,0.00469446
928,2009-12-04,0.00427289
929,2009-12-04,0.00402662
930,2011-08-29,0.14960938
931,2011-08-29,0.03183882
932,2011-08-29,0.02718858
933,2011-08-29,0.01566526
934,2011-08-29,0.00911692
935,2011-08-29,0.00829463
936,2011-08-29,0.00669652
937,2011-08-29,0.00555938
938,2011-08-29,0.00444596
939,2011-08-29,0.00387513
940,2009-08-04,0.11455336
941,2009-08-04,0.03599368
942,2009-08-04,0.0202238
943,2009-08-04,0.01532939
944,2009-08-04,0.00840766
945,2009-08-04,0.00652617
946,2009-08-04,0.0062716
947,2009-08-04,0.00616845
948,2009-08-04,0.00485715
949,2009-08-04,0.0044655
950,2009-11-22,0.11088586
951,2009-11-22,0.04657575
952,2009-11-22,0.01496672
953,2009-11-22,0.01138356
954,2009-11-22,0.00928365
955,2009-11-22,0.00850144
956,2009-11-22,0.00838061
957,2009-11-22,0.0076739
958,2009-11-22,0.00648854
959,2009-11-22,0.00599406
960,2011-08-29,0.08360423
961,2011-08-29,0.04458486
962,2011-08-29,0.03126553
963,2011-08-29,0.03097044
964,2011-08-29,0.02899098
965,2011-08-29,0.02366952
966,2011-08-29,0.02099989
967,2011-08-29,0.01615078
968,2011-08-29,0.01138043
969,2011-08-29,0.01016621
970,2010-06-24,0.07681305
971,2010-06-24,0.01721722
972,2010-06-24,0.00674153
973,2010-06-24,0.00671579
974,2010-06-24,0.00478935
975,2010-06-24,0.00417632
976,2010-06-24,0.00377275
977,2010-06-24,0.00318719
978,2010-06-24,0.00247609
979,2010-06-24,0.00184326
980,2012-01-27,0.11443072
981,2012-01-27,0.06272334
982,2012-01-27,0.03303691
983,2012-01-27,0.02116986
984,2012-01-27,0.0115506
985,2012-01-27,0.01122112
986,2012-01-27,0.00686019
987,2012-01-27,0.00684059
988,2012-01-27,0.00431086
989,2012-01-27,0.00424892
990,2007-05-29,0.03061752
991,2007-05-29,0.0161795
992,2007-05-29,0.01048335
993,2007-05-29,0.00430503
994,2007-05-29,0.00394136
995,2007-05-29,0.00319759
996,2007-05-29,0.00277506
997,2007-05-29,0.00273806
998,2007-05-29,0.00229696
999,2007-05-29,0.00210485
1000,2010-06-24,0.04245735
1001,2010-06-24,0.04104941
1002,2010-06-24,0.03666509
1003,2010-06-24,0.03477908
1004,2010-06-24,0.03150949
1005,2010-06-24,0.02255693
1006,2010-06-24,0.02136511
1007,2010-06-24,0.02036428
1008,2010-06-24,0.01667871
1009,2010-06-24,0.01490404
1010,2019-01-06,0.00784192
1011,2019-01-06,0.00666809
1012,2019-01-06,0.00492188
1013,2019-01-06,0.00280266
1014,2019-01-06,0.00270798
1015,2019-01-06,0.00124747
1016,2019-01-06,0.0012452
1017,2019-01-06,0.00121053
1018,2019-01-06,0.00096708
1019,2019-01-06,0.00089304
1020,2010-06-30,0.05957289
1021,2010-06-30,0.03870529
1022,2010-06-30,0.03420053
1023,2010-06-30,0.03081054
1024,2010-06-30,0.03029914
1025,2010-06-30,0.02592555
1026,2010-06-30,0.01901489
1027,2010-06-30,0.01203127
1028,2010-06-30,0.00794413
1029,2010-06-30,0.00737171
1030,2006-06-22,0.17255853
1031,2006-06-22,0.08715921
1032,2006-06-22,0.05455503
1033,2006-06-22,0.05294002
1034,2006-06-22,0.04803877
1035,2006-06-22,0.04704393
1036,2006-06-22,0.04026996
1037,2006-06-22,0.03986589
1038,2006-06-22,0.02638539
1039,2006-06-22,0.024272
1040,2000-08-02,0.02771671
1041,2000-08-02,0.01685981
1042,2000-08-02,0.01656821
1043,2000-08-02,0.00666222
1044,2000-08-02,0.00484172
1045,2000-08-02,0.00472218
1046,2000-08-02,0.0038802
1047,2000-08-02,0.00359492
1048,2000-08-02,0.00270883
1049,2000-08-02,0.00257578
