obsid, lonstart, lonend, wavenum, wavepower, fap,date,normedpeakwavepower
jcf146151,317,678, [0.19944598337950137 0.5983379501385041 0.997229916897507 1.3961218836565095 1.7950138504155124 2.193905817174515 4.188365650969529 2.5927977839335177 4.587257617728532 8.57617728531856 6.182825484764542 6.581717451523545 3.789473684210526 8.177285318559557 8.975069252077564 ], [1.0316711441386641 1.02083875563271 0.6557789488687182 0.6554910156198667 0.6515622612124198 0.6376980387919852 0.6376611482863479 0.6370940133895331 0.6084232934496521 0.6084031241729564 0.6061574923111088 0.564203635311639 0.5640602455183423 0.5555736482133019 0.5555702386104858 ], [1.1029635403306705e-78 1.586452520021474e-75 3.5417131401673175e-69 1.1041862764074715e-59 1.792628698652728e-47 2.2335570677927913e-33 2.1851575062290814e-17 2.4240355153650803e-17 1.6242966059284757e-14 2.0382845497517202e-13 2.4220628234970122e-11 8.926338555754439e-11 9.831313483283344e-11 1.2278149039935081e-10 1.783151542207663e-08 ],10-Nov-03,0.126309432
jcf060065,1,362, [0.19944598337950137 0.5983379501385041 0.997229916897507 1.3961218836565095 1.7950138504155124 2.193905817174515 2.5927977839335177 4.188365650969529 4.587257617728532 6.581717451523545 6.182825484764542 2.9916897506925206 6.9806094182825476 3.789473684210526 4.986149584487533 ], [1.3983303909590248 1.3981684462840256 0.8911164365833282 0.8910459873451193 0.8872187607174334 0.8871129535928871 0.8755820196393135 0.8657122138400664 0.8464805054830635 0.846450912292324 0.8433287312120632 0.8154321420489868 0.8151766369598417 0.8030194448637417 0.8029991590736544 ], [1.1230373518838674e-158 9.602533288064768e-153 9.146570535888798e-141 1.3773747161072302e-122 4.098831768284544e-98 9.74434442112265e-68 1.996353891212353e-34 3.5840577102432113e-17 8.551929730798303e-17 1.0390934062728376e-11 2.0151172419593614e-08 5.283521251133188e-07 3.1966860751258282e-06 3.525090540549864e-06 5.1447034552663796e-06 ],10-Nov-03,0.171200211
jcf146151,317,678, [0.19944598337950137 0.5983379501385041 0.997229916897507 1.3961218836565095 1.7950138504155124 2.193905817174515 4.188365650969529 2.5927977839335177 4.587257617728532 8.57617728531856 6.182825484764542 6.581717451523545 3.789473684210526 8.177285318559557 8.975069252077564 ], [1.0316711441386641 1.02083875563271 0.6557789488687182 0.6554910156198667 0.6515622612124198 0.6376980387919852 0.6376611482863479 0.6370940133895331 0.6084232934496521 0.6084031241729564 0.6061574923111088 0.564203635311639 0.5640602455183423 0.5555736482133019 0.5555702386104858 ], [1.1029635403306705e-78 1.586452520021474e-75 3.5417131401673175e-69 1.1041862764074715e-59 1.792628698652728e-47 2.2335570677927913e-33 2.1851575062290814e-17 2.4240355153650803e-17 1.6242966059284757e-14 2.0382845497517202e-13 2.4220628234970122e-11 8.926338555754439e-11 9.831313483283344e-11 1.2278149039935081e-10 1.783151542207663e-08 ],10-Nov-03,0.126309432
jcf060065,1,362, [0.19944598337950137 0.5983379501385041 0.997229916897507 1.3961218836565095 1.7950138504155124 2.193905817174515 2.5927977839335177 4.188365650969529 4.587257617728532 6.581717451523545 6.182825484764542 2.9916897506925206 6.9806094182825476 3.789473684210526 4.986149584487533 ], [1.3983303909590248 1.3981684462840256 0.8911164365833282 0.8910459873451193 0.8872187607174334 0.8871129535928871 0.8755820196393135 0.8657122138400664 0.8464805054830635 0.846450912292324 0.8433287312120632 0.8154321420489868 0.8151766369598417 0.8030194448637417 0.8029991590736544 ], [1.1230373518838674e-158 9.602533288064768e-153 9.146570535888798e-141 1.3773747161072302e-122 4.098831768284544e-98 9.74434442112265e-68 1.996353891212353e-34 3.5840577102432113e-17 8.551929730798303e-17 1.0390934062728376e-11 2.0151172419593614e-08 5.283521251133188e-07 3.1966860751258282e-06 3.525090540549864e-06 5.1447034552663796e-06 ],10-Nov-03,0.171200211
jcf032037,82,442, [0.19999999999999998 0.5999999999999999 1.0 1.4 1.8 2.1999999999999997 2.5999999999999996 4.6 2.9999999999999996 4.2 6.6 7.0 5.0 6.2 8.999999999999998 ], [1.4930710639309832 1.4694032898172633 0.970747587601946 0.9705229940212244 0.9681620399565358 0.9675598807073601 0.9489249461799127 0.942027179963358 0.9283387936418989 0.9283040710247268 0.925061130980981 0.9045895045774516 0.9039310098748748 0.8909787645699669 0.8909693658513064 ], [3.142643267945517e-227 2.070117179400372e-217 1.6282197802453735e-197 1.0387863615193422e-167 1.3765613690475373e-129 2.5449318766720165e-87 6.059272074420256e-47 2.4025315386692553e-15 5.769720955774754e-14 4.4128426570299227e-13 5.49192207466982e-12 4.388760199161201e-09 2.5702337645060996e-07 8.578629347555039e-07 0.000284124856271447 ],10-Nov-03,0.182799489
jcf036042,287,648, [0.19944598337950137 0.5983379501385041 0.997229916897507 1.3961218836565095 1.7950138504155124 2.193905817174515 2.5927977839335177 4.587257617728532 4.188365650969529 2.9916897506925206 8.57617728531856 4.986149584487533 8.177285318559557 10.570637119113572 3.789473684210526 ], [1.375361864522162 1.349622164085056 0.8923367516449536 0.8917125887804171 0.8861292871364448 0.8860294252974646 0.8786675217855747 0.8684655336031974 0.8477045380667295 0.8476764288101917 0.8447298893759622 0.8125456309143327 0.8117728531037969 0.8002325411255813 0.8002180340583503 ], [1.2559423843076187e-160 2.3584229181784507e-154 1.8333717222320076e-141 1.6324018650157912e-121 1.018387447597679e-94 9.747426196083271e-64 1.1769130619469895e-33 8.445781707947237e-14 4.3046500980971893e-13 5.522099354676949e-09 1.6099036116831167e-07 1.3505051811172892e-06 1.5246610876248662e-05 0.00011854200786439305 0.00014834308332278994 ],10-Nov-03,0.168388131
jcf043050,281,642, [0.19944598337950137 0.5983379501385041 0.997229916897507 1.3961218836565095 1.7950138504155124 2.193905817174515 2.5927977839335177 4.587257617728532 4.188365650969529 2.9916897506925206 4.986149584487533 8.57617728531856 6.581717451523545 3.789473684210526 6.182825484764542 ], [1.4128861975072688 1.3850044276683267 0.9197302951255333 0.9190585539734899 0.9137771929602618 0.9135710857033899 0.905639288118156 0.8953770928536441 0.8743633519563371 0.8743311470863768 0.8713141462087671 0.8385632513847918 0.8378086300121603 0.8258782218193789 0.8258647085506867 ], [3.641367447501696e-180 3.840240638311051e-172 4.690992549801985e-156 4.0404786426123664e-132 1.1317025059254237e-101 1.0445780062019557e-68 5.060736232919746e-38 2.981049475766041e-14 1.3192786862681559e-12 5.766205698459462e-12 4.2910913196832565e-08 3.4555407782285854e-05 5.4910842334557656e-05 0.0002387246257295922 0.00028500952808379893 ],10-Nov-03,0.172982306
jcf002013,110,472, [0.19889502762430938 0.5966850828729282 0.994475138121547 1.392265193370166 1.7900552486187846 2.187845303867403 2.585635359116022 4.574585635359116 4.176795580110498 2.9834254143646404 6.5635359116022105 6.961325966850828 4.972375690607735 6.165745856353592 8.950276243093922 ], [1.5083585108167201 1.4943223049009544 0.9572370619194659 0.9572179928492137 0.9531667592903174 0.9527831303248605 0.9323594173624022 0.9256656257166703 0.9130694500134178 0.9130405340242393 0.9096482707745888 0.8926922779893398 0.8922238718427887 0.8788696912852414 0.8788668513339151 ], [1.2706142816805334e-206 2.875950939378713e-199 4.6455704638563364e-184 1.6160379514122944e-160 1.3072741712274989e-128 1.9109783988837307e-89 1.9019804464761956e-47 1.1645055363053304e-17 3.175737944942686e-15 1.4198759818868975e-12 2.2960826359715204e-12 1.690784102630244e-08 4.419478414683049e-08 4.087999743926361e-07 8.304878232759962e-07 ],10-Nov-03,0.18467116
jcf054059,5,367, [0.19889502762430938 0.5966850828729282 0.994475138121547 1.392265193370166 1.7900552486187846 2.187845303867403 2.585635359116022 4.574585635359116 2.9834254143646404 4.176795580110498 4.972375690607735 6.5635359116022105 6.961325966850828 6.165745856353592 10.541436464088397 ], [1.5147956493021448 1.5129256104158015 0.9663416519441053 0.9661738566946119 0.9605289445140514 0.9604861741406777 0.9390556106979491 0.932951107641545 0.9216023965179926 0.9215793452339379 0.9181462236080645 0.9031553374571218 0.9030419304521309 0.8893239639790227 0.8893071206285194 ], [9.526955777054606e-215 2.625593804801956e-207 9.309189406174645e-192 1.802365600053786e-167 1.5891173711556062e-134 1.5656329249607164e-94 7.870062884687284e-52 1.7382434236390384e-15 2.4221160849133136e-15 4.484306602663895e-12 4.80882198131688e-08 3.308677089016658e-07 7.492563031402755e-05 0.001599754940756775 0.024244130590951818 ],10-Nov-03,0.185459271
jc0128_0961,268,552, [2.2816901408450705 1.7746478873239435 1.267605633802817 2.788732394366197 0.76056338028169 0.2535211267605634 3.2957746478873235 3.8028169014084505 7.859154929577466 7.352112676056338 8.366197183098592 4.309859154929577 10.901408450704224 10.394366197183098 6.845070422535212 ], [2.3565117667635613 2.35028681982503 0.9348964465827972 0.9347757845786175 0.9314891763173642 0.9314803387815586 0.9312346455257547 0.898505211954128 0.8982336491635057 0.8950986146775013 0.8950860359035574 0.8948478424764883 0.8349472128427858 0.8349224204372218 0.8304486736048307 ], [3.752335103145837e-160 3.0245775619443666e-134 5.4430851172444215e-105 1.1107737889321344e-94 5.857249781131197e-90 1.081817694568677e-83 1.8124786556452052e-32 9.960748568493923e-07 0.9995995796766693 0.999999979832115 1.0 1.0 1.0 1.0 1.0 ],10-Jun-05,0.288512153
jcf068073,268,629, [0.19944598337950137 0.5983379501385041 0.997229916897507 1.3961218836565095 1.7950138504155124 2.193905817174515 2.5927977839335177 4.188365650969529 4.587257617728532 6.581717451523545 6.182825484764542 6.9806094182825476 3.789473684210526 8.57617728531856 2.9916897506925206 ], [1.3323113393425423 1.325356177097649 0.8555118795313307 0.8554311745339803 0.8530773828856685 0.8529098793238022 0.840516898559942 0.8317837021668503 0.8148903253965656 0.8148603331346416 0.8119365467825066 0.7878371854877921 0.7872474247126525 0.7758932632490685 0.7758623303274923 ], [2.2047741356260307e-139 3.058826204114463e-135 1.4138907045931222e-126 1.2550289283903503e-112 4.03448355734473e-92 6.579184915945927e-64 1.722691527624889e-31 2.0595569837104415e-16 3.814696936873425e-15 8.169858246155061e-14 1.4252282021433045e-10 2.052349577310365e-07 2.6962499759752685e-06 4.398979364330591e-06 1.203695088078808e-05 ],10-Dec-05,0.163117375
jcf068073,268,629, [0.19944598337950137 0.5983379501385041 0.997229916897507 1.3961218836565095 1.7950138504155124 2.193905817174515 2.5927977839335177 4.188365650969529 4.587257617728532 6.581717451523545 6.182825484764542 6.9806094182825476 3.789473684210526 8.57617728531856 2.9916897506925206 ], [1.3323113393425423 1.325356177097649 0.8555118795313307 0.8554311745339803 0.8530773828856685 0.8529098793238022 0.840516898559942 0.8317837021668503 0.8148903253965656 0.8148603331346416 0.8119365467825066 0.7878371854877921 0.7872474247126525 0.7758932632490685 0.7758623303274923 ], [2.2047741356260307e-139 3.058826204114463e-135 1.4138907045931222e-126 1.2550289283903503e-112 4.03448355734473e-92 6.579184915945927e-64 1.722691527624889e-31 2.0595569837104415e-16 3.814696936873425e-15 8.169858246155061e-14 1.4252282021433045e-10 2.052349577310365e-07 2.6962499759752685e-06 4.398979364330591e-06 1.203695088078808e-05 ],10-Dec-05,0.163117375
jcf00680073,256,654, [0.1809045226130653 0.542713567839196 0.9045226130653266 1.2663316582914572 1.6281407035175879 3.798994974874371 3.437185929648241 5.608040201005024 1.9899497487437185 7.417085427135677 5.246231155778894 7.7788944723618085 5.969849246231155 9.587939698492463 9.226130653266331 ], [0.9029044769022561 0.8729412740752481 0.4540514788662479 0.45352501681548113 0.45134407982434877 0.43667313995239554 0.433080070241973 0.4329532211734641 0.40717038157808344 0.4071503356833196 0.4051145668573271 0.36035648088438643 0.35984220196335426 0.35273808740887364 0.3527274603132326 ], [3.145381464447683e-48 5.6744744106315776e-46 2.588400485320484e-41 5.036559415714306e-34 3.638411029125437e-24 6.597751444539127e-15 6.986219914172748e-15 6.665609401118264e-14 3.4468149273849327e-13 1.910853807849202e-11 1.0332427342315328e-09 2.266493967930824e-09 5.9314020693302814e-09 1.221787177803339e-08 2.6183347791411396e-08 ],10-Dec-05,0.110544288
jcf039044,112,474, [0.19889502762430938 0.5966850828729282 0.994475138121547 1.392265193370166 1.7900552486187846 2.187845303867403 2.585635359116022 6.5635359116022105 2.9834254143646404 4.574585635359116 6.165745856353592 4.176795580110498 8.552486187845304 6.961325966850828 8.950276243093922 ], [1.40951210272952 1.392994346731178 0.8938948363264705 0.8934637949521685 0.8910003625530154 0.8909398952091067 0.8777607086804179 0.8683955923062403 0.8501706749346413 0.8501463394171443 0.847010698961734 0.8208664415756636 0.820371338637347 0.8081211453454535 0.8081164463580889 ], [1.6712408033667143e-160 9.44953828072351e-155 5.100523593160669e-143 5.741371651908153e-125 1.3457769446831587e-100 5.030676097052704e-71 5.8282183753040486e-39 5.811024145667863e-12 1.1970748417870628e-10 3.508802599752932e-10 5.978769838763789e-10 1.0790277957205915e-09 3.661723647013781e-08 3.7845947480630978e-06 6.046140802168419e-06 ],10-Dec-05,0.172569209
jcf046051,283,644, [0.19944598337950137 0.5983379501385041 0.997229916897507 1.3961218836565095 1.7950138504155124 2.193905817174515 2.5927977839335177 4.188365650969529 4.587257617728532 6.581717451523545 6.182825484764542 8.57617728531856 3.789473684210526 6.9806094182825476 2.9916897506925206 ], [1.306138313017942 1.2980781909311938 0.827980177883609 0.8277370565335533 0.8196990445098645 0.819592464427876 0.8155704630569581 0.8041384303108319 0.7817819845307067 0.7817540808674511 0.7788487814359679 0.7464370299753189 0.746425245333864 0.73510457468459 0.7350941343201627 ], [4.310739496278725e-128 2.0264887448004763e-123 5.499025090883106e-114 1.0584951342729953e-99 1.1596436393932534e-80 3.7045480808270816e-57 4.360314419583451e-30 7.476561109889347e-17 2.0028184010270247e-15 2.2628743725594342e-13 5.103116075174801e-11 1.9564020933097155e-07 2.178759840239555e-07 1.0780723836145245e-06 2.1957545050513753e-06 ],10-Dec-05,0.159912962
jcf052057,279,640, [0.19944598337950137 0.5983379501385041 0.997229916897507 1.3961218836565095 1.7950138504155124 2.193905817174515 2.5927977839335177 4.587257617728532 4.188365650969529 6.581717451523545 2.9916897506925206 6.182825484764542 6.9806094182825476 8.57617728531856 4.986149584487533 ], [1.4097820988118286 1.3982304859968346 0.8940394642935715 0.8937157322386148 0.8907617431149404 0.8905552684417655 0.8780391462467418 0.8683618734528507 0.8496113179036577 0.8495780913381809 0.8464298290834932 0.8196924675115256 0.8195889969160054 0.8071867827855028 0.8071783364351495 ], [3.165051698519651e-160 2.715415203324283e-154 2.5579315057930162e-142 3.084115505268429e-124 2.697733861596293e-100 2.8446402871975755e-71 7.496635209618584e-39 5.49651081284471e-14 2.100475750045041e-13 7.62966519043053e-12 4.283743979417091e-10 6.894152256037338e-09 1.4531724067450296e-06 1.3286788579186715e-05 2.040032400994568e-05 ],10-Dec-05,0.172602265
jc046051,284,645, [0.19944598337950137 0.5983379501385041 0.997229916897507 1.3961218836565095 1.7950138504155124 2.193905817174515 2.5927977839335177 4.188365650969529 4.587257617728532 6.581717451523545 6.182825484764542 8.57617728531856 2.9916897506925206 3.789473684210526 6.9806094182825476 ], [1.2508857312260335 1.2451986191859283 0.7934534503497466 0.7932641200619388 0.7870008686662384 0.7867348476212359 0.7811050846865066 0.7706172843470795 0.7505367879684213 0.7505046237895234 0.7477193779087965 0.7201787120356443 0.7199661119950154 0.7091361235441482 0.7091184910229225 ], [8.784317507339237e-115 3.792723549993073e-111 9.316563283977374e-104 1.8031273542710914e-92 3.51710649435058e-77 3.356788506175668e-57 1.5464505252331472e-31 2.1793550613348304e-15 1.1828590731371767e-14 8.156559968557651e-13 9.544560932915147e-11 1.2446081727891714e-07 1.5286079798817602e-07 1.3135660818249198e-06 1.6289286007594535e-06 ],10-Dec-05,0.153148285
jcf074079,264,625, [0.19944598337950137 0.5983379501385041 0.997229916897507 1.3961218836565095 1.7950138504155124 2.193905817174515 2.5927977839335177 4.587257617728532 4.188365650969529 6.581717451523545 6.182825484764542 2.9916897506925206 6.9806094182825476 4.986149584487533 8.57617728531856 ], [1.3780691013907216 1.3630404011328598 0.8757613387664998 0.875364709772074 0.8696687691282188 0.8693656039362755 0.8615397725136402 0.8508014168403644 0.8296886083831574 0.829652968238634 0.8265995575013991 0.7958934514523043 0.7957285246961585 0.7837174590944687 0.7837113981238162 ], [2.2907791603107894e-150 1.4586768499426773e-144 6.979091348030689e-133 2.2797921848130933e-115 1.7153006610691393e-92 2.065063949028907e-65 1.463481887979141e-35 2.0741136021504516e-16 1.543737631817503e-15 1.2452322704309536e-12 4.732510914153237e-09 6.670565042218172e-09 5.3574451458644494e-08 2.552953866425339e-07 1.4621660121585984e-05 ],10-Dec-05,0.168719583
jcf033038,116,477, [0.19944598337950137 0.5983379501385041 0.997229916897507 1.3961218836565095 1.7950138504155124 2.193905817174515 2.5927977839335177 6.581717451523545 6.182825484764542 4.188365650969529 8.57617728531856 4.587257617728532 8.975069252077564 6.9806094182825476 8.177285318559557 ], [1.2885494500572492 1.2833139361790578 0.8174636725428185 0.8172822751003594 0.8104097025621052 0.8102464437608616 0.8046810921428925 0.7939375259809961 0.7728947523669987 0.7728652983172581 0.7699939305245427 0.7391946580648087 0.7391434149813346 0.7279366290215573 0.7279241706626057 ], [1.2336892091112609e-123 1.7818249943368563e-119 6.162345638206339e-111 1.2283401718410114e-97 3.6926883924280354e-79 1.796736038850205e-55 1.7456106761926478e-28 9.776232894702625e-17 1.301931566975237e-15 7.402810316577902e-12 9.001469698398171e-12 1.0548310551107603e-09 4.070057248191737e-08 1.6979006586525195e-07 6.688921855174435e-07 ],10-Dec-05,0.157759525
jcf022027,196,552, [0.20224719101123595 0.6067415730337078 1.0112359550561798 1.4157303370786516 1.8202247191011236 2.2247191011235956 2.6292134831460676 4.651685393258427 3.0337078651685396 4.247191011235955 6.674157303370786 6.269662921348314 8.696629213483146 7.078651685393259 5.056179775280899 ], [1.4438458932366034 1.4315452986204147 0.9448886562975651 0.9447468655044642 0.9439860447239804 0.9436197684910209 0.92615688579249 0.9185023575265298 0.9036910800068425 0.9036596522589124 0.900514989603827 0.8793798596482991 0.8790581412513689 0.866548110104249 0.8665467666452327 ], [2.119339022911343e-196 7.669794453706191e-189 1.4710074183421929e-173 1.7812937494185528e-150 6.373630083368987e-120 2.5652468343759202e-83 1.3048315512555687e-44 2.838251660251091e-13 4.646739236380545e-12 6.233683341597744e-12 3.880146899299315e-10 6.367414537088914e-07 6.41304557502385e-06 1.688420178088617e-05 4.306039835283124e-05 ],8-Aug-07,0.176772759
