,normeddate,absdate,power,lon,fixedlon
206,0.09634743468872602,1996-08-11,840.6796809971846,290.0,321.0
207,0.9204099632006326,1999-09-14,533.5478708577165,326.0,247.0
208,0.4554910130470484,1997-12-16,0.0,188.0,266.0
209,0.7058483622760865,1998-11-24,592.5471705236195,367.5,241.25
210,0.11167543566193243,1996-09-01,62.83333333333334,438.0,145.0
211,0.09634743468872602,1996-08-11,596.3807374225544,420.5,219.75
212,0.5751649888993644,1998-05-29,870.7579028779044,259.5,322.25
213,0.5758948937076123,1998-05-30,610.0,239.0,283.5
214,0.9204099632006326,1999-09-14,259.217098833071,317.5,231.25
215,0.39122897722088745,1997-09-19,0.0,301.5,209.25
216,0.9379276785985827,1999-10-08,151.0398562934532,247.0,250.5
217,0.9729935220948268,1999-11-25,0.0,243.5,238.25
218,0.2934217329156656,1997-05-08,0.0,490.5,114.75
219,0.25400687327027766,1997-03-15,142.53610039627048,413.5,164.25
220,0.4569508226635443,1997-12-18,177.66666666666669,349.0,199.5
221,0.6634834706973632,1998-09-27,397.78117630986065,288.5,258.75
222,0.7051184574678385,1998-11-23,0.0,320.0,200.0
223,0.4007177397281105,1997-10-02,49.5,393.5,166.25
224,0.5758948937076123,1998-05-30,1404.465085945282,471.0,269.5
225,0.9729935220948268,1999-11-25,0.0,424.0,148.0
226,0.8642072929655424,1999-06-29,0.0,336.0,192.0
227,0.9737234269030747,1999-11-26,120.83333333333326,135.5,304.25
228,0.7547519844286974,1999-01-30,487.6176915420334,422.0,181.0
229,0.019974763068166562,2000-02-01,0.0,355.5,182.25
230,0.233898032056273,2000-12-29,131.54206336404494,293.0,229.5
231,0.17910167261792895,2000-10-05,198.5,418.5,169.75
232,0.033506054178860045,2000-02-22,310.5,535.0,128.5
233,0.233898032056273,2000-12-29,245.25149432064546,359.5,204.25
234,0.31377023652911645,2001-05-02,417.1232277899252,409.0,189.5
235,0.31377023652911645,2001-05-02,60.45656112325857,203.0,265.5
236,0.2345423792520203,2000-12-30,343.0,128.0,329.0
237,0.033506054178860045,2000-02-22,0.0,176.0,272.0
238,0.2268102129030526,2000-12-18,0.0,508.0,106.0
239,0.31377023652911645,2001-05-02,0.0,201.5,259.25
240,0.17845732542218165,2000-10-04,226.66666666666666,236.0,269.0
241,0.02641823502563965,2000-02-11,65.83333333333333,357.0,185.5
242,0.10371305071549386,2000-06-10,0.0,464.0,128.0
243,0.033506054178860045,2000-02-22,0.0,179.0,270.5
244,0.233898032056273,2000-12-29,788.3899508961117,303.5,285.25
245,0.033506054178860045,2000-02-22,754.2059516368446,537.0,157.5
246,0.10371305071549386,2000-06-10,912.7502660384152,302.5,304.75
247,0.27771364136709,2001-03-07,385.0826708649393,271.0,272.5
248,0.31377023652911645,2001-05-02,62.5,203.5,265.25
